bar,mx,my,mz,ax,ay,az,p,q,r
97379.382812,-0.434883,-0.119706,0.892495,-0.565823,-0.542472,-9.809401,-0.002397,-0.004528,-0.002397
97380.710938,-0.444970,-0.112766,0.888417,-0.578397,-0.567620,-9.814790,-0.000266,0.000533,0.002397
97377.468750,-0.435964,-0.120846,0.891814,-0.576601,-0.560435,-9.800420,-0.001864,-0.003729,-0.000266
97393.218750,-0.444136,-0.117118,0.888272,-0.589175,-0.562231,-9.811197,-0.003729,0.001598,-0.000533
97379.210938,-0.435450,-0.119176,0.892290,-0.569416,-0.544268,-9.807605,-0.004261,-0.002930,0.002131
97376.890625,-0.437439,-0.116243,0.891703,-0.558638,-0.540676,-9.805808,-0.002930,-0.000533,-0.003462
97392.539062,-0.445480,-0.114815,0.887899,-0.580193,-0.578397,-9.798623,-0.002397,0.001598,0.001598
97378.398438,-0.435606,-0.116162,0.892611,-0.549657,-0.522713,-9.787846,-0.004794,-0.002930,-0.003995
97385.710938,-0.435039,-0.116718,0.892815,-0.576601,-0.576601,-9.802216,-0.006924,-0.000533,0.001065
97388.351562,-0.437559,-0.114345,0.891890,-0.562231,-0.547861,-9.793234,0.002930,-0.000533,-0.003462
97383.250000,-0.438517,-0.119179,0.890786,-0.581990,-0.540676,-9.814790,-0.003196,-0.002397,-0.004261
97382.375000,-0.433259,-0.114417,0.893977,-0.574805,-0.574805,-9.807605,-0.002131,0.001332,-0.000799
97385.320312,-0.435901,-0.123024,0.891547,-0.565823,-0.549657,-9.780661,-0.004528,0.000000,-0.002930
97390.453125,-0.437846,-0.121203,0.890843,-0.576601,-0.578397,-9.825567,-0.003462,0.001864,-0.003462
97394.820312,-0.435883,-0.122353,0.891648,-0.578397,-0.551453,-9.802216,-0.004794,0.001065,-0.002397
97377.625000,-0.438397,-0.121777,0.890493,-0.580193,-0.571212,-9.802216,0.000799,-0.001598,-0.001065
97379.796875,-0.442369,-0.116254,0.889267,-0.573008,-0.535287,-9.787846,-0.001065,0.000799,0.000799
97383.429688,-0.438790,-0.113533,0.891388,-0.589175,-0.567620,-9.816586,-0.004261,-0.001598,-0.002397
97374.640625,-0.432438,-0.118768,0.893807,-0.573008,-0.540676,-9.809401,-0.003995,-0.001598,-0.001332
97382.992188,-0.437247,-0.120357,0.891252,-0.569416,-0.553249,-9.795031,-0.004794,-0.000799,-0.001864
97379.312500,-0.439908,-0.116087,0.890508,-0.581990,-0.569416,-9.795031,-0.003729,-0.001332,0.000000
97379.218750,-0.442208,-0.118939,0.888991,-0.573008,-0.522713,-9.816586,-0.004261,-0.001864,0.000000
97387.632812,-0.437963,-0.118615,0.891133,-0.558638,-0.578397,-9.764494,-0.003196,-0.004261,-0.002397
97381.820312,-0.435450,-0.119176,0.892290,-0.564027,-0.564027,-9.804012,-0.003462,-0.001065,0.003729
97378.554688,-0.442261,-0.117834,0.889112,-0.551453,-0.540676,-9.807605,-0.000266,0.000000,-0.000533
97385.390625,-0.442645,-0.122109,0.888344,-0.573008,-0.533491,-9.787846,-0.006125,-0.003729,-0.003196
97368.304688,-0.443514,-0.117356,0.888551,-0.555046,-0.555046,-9.812993,-0.002397,-0.000533,-0.001598
97378.296875,-0.443514,-0.117356,0.888551,-0.564027,-0.549657,-9.780661,-0.002663,0.003462,-0.000266
97377.507812,-0.446101,-0.114581,0.887618,-0.583786,-0.546064,-9.804012,-0.003995,-0.001864,-0.003729
97380.460938,-0.433561,-0.119497,0.893166,-0.564027,-0.562231,-9.802216,-0.003196,-0.004261,-0.000799
97372.875000,-0.440150,-0.122690,0.889503,-0.592767,-0.542472,-9.814790,-0.002930,0.000266,0.001598
97374.570312,-0.437426,-0.128027,0.890094,-0.573008,-0.565823,-9.811197,-0.003729,0.001864,-0.004794
97371.843750,-0.444235,-0.115228,0.888469,-0.571212,-0.547861,-9.816586,-0.003995,-0.001598,0.000000
97376.890625,-0.441293,-0.112995,0.890221,-0.610730,-0.567620,-9.805808,-0.005060,-0.001065,-0.000266
97378.429688,-0.430398,-0.121002,0.894492,-0.553249,-0.540676,-9.804012,-0.002663,0.001332,0.002131
97379.476562,-0.438867,-0.112764,0.891448,-0.553249,-0.528102,-9.769883,-0.007191,-0.005060,-0.000799
97372.132812,-0.442340,-0.116325,0.889272,-0.639470,-0.831670,-9.698032,-0.151272,0.100404,0.088420
97377.679688,-0.441969,-0.111639,0.890056,-0.519120,-0.727487,-10.111174,0.002131,-0.009854,0.002397
97372.078125,-0.442418,-0.114814,0.889429,-0.756227,-0.265847,-9.518406,-0.082028,-0.079098,0.156066
97367.671875,-0.442469,-0.113690,0.889548,-0.504750,-0.326920,-9.778864,-0.010653,-0.031160,-0.045808
97374.390625,-0.440959,-0.107178,0.891105,-0.256866,-0.134720,-10.107580,-0.233833,0.006658,-0.046873
97376.320312,-0.437399,-0.089328,0.894820,-0.806523,0.420326,-10.010582,-0.344091,-0.079098,-0.029828
97385.523438,-0.432905,-0.059658,0.899463,-0.646655,0.916095,-9.956695,-0.182166,-0.011452,-0.155267
97383.382812,-0.437796,-0.030615,0.898553,-0.917891,0.969983,-9.410630,-0.328644,0.117982,-0.094012
97372.007812,-0.448370,-0.016776,0.893690,-0.596360,1.600472,-10.078840,-0.331840,0.201075,0.008256
97364.117188,-0.455165,0.001533,0.890406,-0.483195,2.333348,-9.692643,-0.125705,0.050069,0.003995
97373.656250,-0.469195,0.012307,0.883009,0.073647,2.737507,-8.972342,-0.123574,0.104932,-0.021306
97369.820312,-0.474540,0.029274,0.879747,-0.271236,3.019521,-9.491462,-0.208266,0.144081,-0.056194
97371.484375,-0.487633,0.038457,0.872201,0.357457,3.351830,-9.116042,-0.297751,0.111856,-0.031959
97372.781250,-0.493665,0.067879,0.866999,0.096998,3.565585,-9.207652,-0.287630,0.134227,-0.011452
97385.187500,-0.507675,0.088494,0.856992,0.772394,4.084705,-8.684939,-0.221049,0.156066,-0.004261
97372.710938,-0.526259,0.101806,0.844208,1.050815,4.831952,-8.510701,-0.308137,0.210929,-0.097208
97372.953125,-0.535459,0.118116,0.836261,0.984353,4.939727,-8.383166,-0.210396,0.111057,-0.042612
97372.328125,-0.547780,0.144487,0.824051,1.210682,5.390590,-7.673642,-0.203205,0.088420,-0.028763
97365.765625,-0.549084,0.146530,0.822822,1.273552,5.381608,-7.799381,0.014914,-0.035687,-0.053531
97363.273438,-0.547639,0.154872,0.822257,1.956132,6.037245,-7.626939,-0.102269,-0.043145,-0.095610
97364.843750,-0.551762,0.166328,0.817248,1.253793,5.730084,-7.208410,-0.083626,-0.133961,-0.057260
97366.742188,-0.537615,0.188892,0.821760,1.375939,6.322851,-7.423961,-0.236230,-0.034888,-0.144348
97372.859375,-0.525107,0.190069,0.829540,0.506547,6.216872,-7.684420,-0.139288,-0.208532,-0.082561
97366.664062,-0.504415,0.216640,0.835842,0.168849,6.536607,-7.459887,-0.143549,-0.133428,-0.043411
97368.718750,-0.502776,0.222728,0.835230,0.456251,6.872508,-6.841972,-0.226908,-0.067913,-0.063651
97379.546875,-0.506298,0.244930,0.826844,0.122146,6.895860,-6.249204,-0.192819,0.002663,-0.052732
97375.937500,-0.509236,0.254618,0.822100,-0.274828,7.476053,-6.473737,-0.254606,0.006392,-0.023170
97365.687500,-0.512288,0.284604,0.810285,-0.192200,7.846084,-5.730084,-0.243953,-0.027431,-0.049004
97370.414062,-0.523755,0.301710,0.796650,0.116757,7.876620,-5.038522,-0.212260,0.025301,-0.013849
97365.312500,-0.515141,0.322179,0.794248,-0.262255,8.298742,-4.990023,-0.319323,0.007457,-0.026632
97377.171875,-0.529986,0.338700,0.777430,-0.274828,8.368796,-4.415218,-0.159528,-0.018376,-0.076435
97359.453125,-0.525311,0.351976,0.774701,0.000000,8.891509,-3.924838,-0.204803,0.001864,-0.035687
97365.765625,-0.518901,0.365020,0.772983,-0.337698,8.724457,-3.836821,-0.302278,0.012517,-0.055395
97363.976562,-0.530614,0.376154,0.759577,-0.576601,8.940009,-3.456013,-0.226376,-0.057526,-0.048737
97369.140625,-0.533747,0.393779,0.748366,-0.590971,9.092691,-2.929708,-0.143282,-0.016778,-0.030627
97357.257812,-0.536833,0.411945,0.736282,-0.731080,9.116042,-2.432142,-0.117715,0.015713,-0.053265
97376.328125,-0.540446,0.424771,0.726283,-0.490380,9.236392,-1.979483,-0.320921,-0.003995,-0.020241
97363.929688,-0.543430,0.426034,0.723311,-0.849633,9.297465,-2.042353,-0.105198,-0.010387,0.052200
